series_id,source_sheet,source_table,source_row,indicator_id,indicator_label,unit,year,month,period,value_as_published,source_file
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,6,2012-06,15940.447,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,7,2012-07,16513.643,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,8,2012-08,17683.795,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,9,2012-09,15390.904,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,10,2012-10,16587.27053102625,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,11,2012-11,16667.24972435738,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,12,2012-12,17870.612999999998,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,1,2013-01,17713.303,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,2,2013-02,15737.115,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,3,2013-03,19288.268,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,4,2013-04,18979.886000000002,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,5,2013-05,19803.009,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,6,2013-06,20437.044,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,7,2013-07,22723.168,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,8,2013-08,22057.485,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,9,2013-09,19698.419,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,10,2013-10,20917.534,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,11,2013-11,21393.550000000003,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,12,2013-12,24096.508,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,1,2014-01,21993.803,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,2,2014-02,19497.459,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,3,2014-03,24460.990999999998,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,4,2014-04,22090.609,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,5,2014-05,25067.896999999997,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,6,2014-06,24316.008,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,7,2014-07,28899.017,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,8,2014-08,24658.072,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,9,2014-09,23985.535,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,10,2014-10,24664.362,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,11,2014-11,23957.43,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,12,2014-12,28463.8,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,1,2015-01,25645.432,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,2,2015-02,23327.001,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,3,2015-03,26832.513,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,4,2015-04,26656.077,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,5,2015-05,29336.002,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,6,2015-06,28914.41,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,7,2015-07,33543.30499999999,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,8,2015-08,29778.368000000002,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,9,2015-09,29079.398999999998,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,10,2015-10,30735.464,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,11,2015-11,30099.453,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,12,2015-12,34798.805,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,1,2016-01,31486.270999999997,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,2,2016-02,27401.329,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,3,2016-03,32915.222,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,4,2016-04,32825.393,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,5,2016-05,35178.578,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,6,2016-06,39062.954,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,7,2016-07,39861.038,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,8,2016-08,37573.839,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,9,2016-09,35745.877,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,10,2016-10,35061.433000000005,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,11,2016-11,35668.353,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,12,2016-12,41508.585,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,1,2017-01,38142.53999999999,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,2,2017-02,34097.057,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,3,2017-03,39355.331999999995,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,4,2017-04,39416.060000000005,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,5,2017-05,40792.142,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,6,2017-06,46280.854,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,7,2017-07,42953.128,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,8,2017-08,42632.077000000005,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,9,2017-09,41394.754,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,10,2017-10,43496.261,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,11,2017-11,42381.186,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,12,2017-12,50274.051,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,1,2018-01,46596.738000000005,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,2,2018-02,39396.293,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,3,2018-03,45581.44,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,4,2018-04,44107.066000000006,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,5,2018-05,47704.492,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,6,2018-06,53465.975,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,7,2018-07,49085.428,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,8,2018-08,48634.927,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,9,2018-09,48013.594,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,10,2018-10,48626.8405,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,11,2018-11,49150.221,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,12,2018-12,56966.883,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,1,2019-01,52433.835,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,2,2019-02,46622.659,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,3,2019-03,54293.820999999996,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,4,2019-04,52746.448,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,5,2019-05,60854.893000000004,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,6,2019-06,56357.701,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,7,2019-07,58169.832,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,8,2019-08,55862.323,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,9,2019-09,55351.881,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,10,2019-10,58099.924000000006,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,11,2019-11,58391.615999999995,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,12,2019-12,66850.012,SPIP-Desember-2025.xlsx
