path,extension,bytes,sha256,layer,rows,columns,exact_duplicate_rows,null_cells,all_null_columns,read_status
data/market/raw_price_downloads/yahoo_SE_2019_2026_chart.json,.json,202391,6db8e390b3cc30b29550c865e7d1d028e80b9ad0d32963b5308b78a957124cb0,market,,,,,,not_tabular
data/market/raw_price_downloads/yahoo_SP500_2019_2026_chart.json,.json,199830,c474a287c453cdd51e6e260af48cedd31adfc34b74025083b792b48a93884e08,market,,,,,,not_tabular
data/measurement/results/external_scope_triangulation_results.csv,.csv,866,8b73995b4a30644cb2f39dafae3801423e2308a868c7b31e8c14e333ea87316a,measurement,4.0,6.0,0.0,0.0,,ok
data/measurement/results/grab_fy2023_reporting_scope_comparison.csv,.csv,446,f31e6d862c45e2b4e63a8f3bf6ef54c503cfcbf0aec03dceb4bc4cb6a09da77e,measurement,2.0,7.0,0.0,0.0,,ok
data/measurement/results/tokopedia_fy2022_2023_revenue_incentive_reconciliation.csv,.csv,506,eff067d774797f2266027adbb3c08a4163161395a9d1d8bb0269933a567c65ab,measurement,1.0,9.0,0.0,0.0,,ok
data/measurement/source_extracts/external_scope_triangulation_2023.csv,.csv,1834,0981829c042e8ef9725672f44e36042cbf0cd75afaf1008cdd65759b087d36d1,measurement,5.0,9.0,0.0,0.0,,ok
data/measurement/source_extracts/grab_fy2023_reporting_scope_comparison.csv,.csv,1125,0e20b93dcbe77d1f6ca7328c7c929cc1d231a0a74de348ff9c816113ebba528b,measurement,4.0,10.0,0.0,0.0,,ok
data/measurement/source_extracts/tokopedia_fy2022_2023_revenue_components.csv,.csv,1913,8efbec5c9d4b4dff683475d03a71a5b1182f63aac64f91480f587946c4777fa3,measurement,6.0,8.0,0.0,0.0,,ok
data/quarterly/clean_event_panel_accounting.csv,.csv,5889,091f720e1ea9079e81f4af24a5c7e973606b774b60099fd4ef6cd40dad562e65,quarterly,47.0,12.0,0.0,46.0,,ok
data/quarterly/contamination_ledger_REVIEWED.csv,.csv,5950,6b54ca89f61bef57d04da59570179acd8276ae790a549ff34056786e5ff8f82c,quarterly,47.0,6.0,0.0,27.0,,ok
data/quarterly/event_session_ledger_REVIEWED.csv,.csv,10435,2f287100903a1fdeff0aa02bfc49cd346f69c393d609e6c966fcb0475487f85a,quarterly,47.0,8.0,0.0,0.0,,ok
data/quarterly/goto_panel_primary_document_reconciliation.csv,.csv,7500,455c69075172af9423ce27a959b1c69d79d889e9613da1ed60b66fa64038b696,quarterly,16.0,15.0,0.0,1.0,,ok
data/quarterly/goto_quarterly_primary_document_manifest.csv,.csv,6410,450254490fc269db0a6100e320bdd313efc75e2d1f51e59ee21b5eb37296ee0d,quarterly,16.0,10.0,0.0,17.0,error,ok
data/quarterly/grab_panel_component_reconciliation.csv,.csv,7756,36258c3e78d4a34f4651edaa92dbee75d996c890a382fcb7d8cf8baa7bb9afbe,quarterly,17.0,21.0,0.0,0.0,,ok
data/quarterly/quarterly_panel_raw_token_scan.csv,.csv,11527,9ddc6c6f1c64c11155e23619c2c331cb324b7442e0f6edaafe84d3940ab31512,quarterly,47.0,12.0,0.0,29.0,,ok
data/quarterly/quarterly_panel_source_coverage.csv,.csv,39512,778e359932611a7b019cdacfda24671b5826ed1daed917eed9bc4c74528abfa1,quarterly,47.0,23.0,0.0,39.0,,ok
data/quarterly/quarterly_primary_source_recovery_manifest.csv,.csv,8843,3bedb3e99166d5af8777c79b772a4dcf5968169d3d18bdefd09d9089d8244539,quarterly,24.0,13.0,0.0,24.0,error,ok
data/quarterly/quarterly_release_archive_manifest.csv,.csv,15976,e905f2525c5d7c4d1648fdfffbb6c075a7785d88b20178557ead224c99e68d8e,quarterly,40.0,16.0,0.0,162.0,announcement_time;timezone,ok
data/quarterly/registry_sources_not_used_by_current_panel.csv,.csv,1231,e3b14e0b910950cebb4ef9cd09ef5495b510b03b94064d3a34e35edef6c061e0,quarterly,3.0,16.0,0.0,12.0,announcement_time;timezone,ok
data/quarterly/sea_gmv_disclosure_candidates.csv,.csv,25344,1d355abd870e57b9fa015543407abb2df7af8ba7a8543a118a1ac4944dab2e01,quarterly,41.0,11.0,0.0,0.0,,ok
data/quarterly/sea_panel_direct_reconciliation.csv,.csv,5335,a16a1aa9043acd18612430b49a16e690eef783013be29ed91be83007dd1fed2f,quarterly,14.0,15.0,0.0,0.0,,ok
data/quarterly/sec_quarterly_primary_exhibit_manifest.csv,.csv,10415,ca90632642add46ec100a4d345037f549473e99cb2bc81e9b96cf3cef82b2258,quarterly,31.0,12.0,0.0,31.0,error,ok
