platform,period,frequency,scope,unit,source_id,source_url,source_file,source_page,status,indonesia_country_pair_confirmed,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2024Q4,quarter,Institutions,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,3440.0,"-​ Institutions                                     3,440                   3,120               10              11,649                 10,066                 16",1635.0,"-​ Institutions                                     1,635                     898               82                5,671                 3,008                 89",201.0,-​ Institutions                                        201                     161             25                   759                   278               173
Blibli/GDN,2024Q4,quarter,Physical Stores,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1650.0,"-​ Physical Stores                                  1,650                   1,281               29               6,250                  4,773                 31",1403.0,"-​ Physical Stores                                  1,403                   1,122               25                5,392                 4,199                 28",368.0,"-​ Physical Stores                                     368                     240             53                 1,247                   914                36"
Blibli/GDN,2024Q4,quarter,Group,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,21144.0,"Total TPV                                          21,144                  17,508               21              77,410                 72,136                 7",4584.0,"Total Net Revenues                                   4,584                   3,255               41              16,716                 14,718                14",1605.0,"Total GPBD                                           1,605                   1,053               52                5,364                 3,687                45"
Blibli/GDN,2023Q4,quarter,1P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1142.0,"-​ 1P Retail                                        1,429                   1,142               25               5,301                  7,385               (28)",956.0,"-​ 1P Retail                                        1,122                     956               17                4,269                 6,386               (33)",109.0,-​ 1P Retail                                           311                     109            185                   859                   517                66
Blibli/GDN,2023Q4,quarter,3P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,11965.0,"-​ 3P Retail                                       14,625                  11,965               22              54,210                 49,912                  9",279.0,"-​ 3P Retail                                          424                     279               52                1,384                 1,125                 23",543.0,"-​ 3P Retail                                           725                     543             34                 2,499                 1,978                26"
Blibli/GDN,2023Q4,quarter,Institutions,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,3120.0,"-​ Institutions                                     3,440                   3,120               10              11,649                 10,066                 16",898.0,"-​ Institutions                                     1,635                     898               82                5,671                 3,008                 89",161.0,-​ Institutions                                        201                     161             25                   759                   278               173
Blibli/GDN,2023Q4,quarter,Physical Stores,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1281.0,"-​ Physical Stores                                  1,650                   1,281               29               6,250                  4,773                 31",1122.0,"-​ Physical Stores                                  1,403                   1,122               25                5,392                 4,199                 28",240.0,"-​ Physical Stores                                     368                     240             53                 1,247                   914                36"
Blibli/GDN,2023Q4,quarter,Group,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,17508.0,"Total TPV                                          21,144                  17,508               21              77,410                 72,136                 7",3255.0,"Total Net Revenues                                   4,584                   3,255               41              16,716                 14,718                14",1053.0,"Total GPBD                                           1,605                   1,053               52                5,364                 3,687                45"
Blibli/GDN,2024FY,annual,1P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,5301.0,"-​ 1P Retail                                        1,429                   1,142               25               5,301                  7,385               (28)",4269.0,"-​ 1P Retail                                        1,122                     956               17                4,269                 6,386               (33)",859.0,-​ 1P Retail                                           311                     109            185                   859                   517                66
Blibli/GDN,2024FY,annual,3P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,54210.0,"-​ 3P Retail                                       14,625                  11,965               22              54,210                 49,912                  9",1384.0,"-​ 3P Retail                                          424                     279               52                1,384                 1,125                 23",2499.0,"-​ 3P Retail                                           725                     543             34                 2,499                 1,978                26"
